name,date,hour,count
agricola-sb,2016-10-03,0,0
agricola-sb,2016-10-03,1,0
agricola-sb,2016-10-03,2,0
agricola-sb,2016-10-03,3,0
agricola-sb,2016-10-03,4,0
agricola-sb,2016-10-03,5,0
agricola-sb,2016-10-03,6,0
agricola-sb,2016-10-03,7,0
agricola-sb,2016-10-03,8,0
agricola-sb,2016-10-03,9,0
agricola-sb,2016-10-03,10,0
agricola-sb,2016-10-03,11,0
agricola-sb,2016-10-03,12,0
agricola-sb,2016-10-03,13,0
agricola-sb,2016-10-03,14,3
agricola-sb,2016-10-03,15,11
agricola-sb,2016-10-03,16,10
agricola-sb,2016-10-03,17,16
agricola-sb,2016-10-03,18,10
agricola-sb,2016-10-03,19,10
agricola-sb,2016-10-03,20,2
agricola-sb,2016-10-03,21,4
agricola-sb,2016-10-03,22,5
agricola-sb,2016-10-03,23,0
agricola-sb,2016-10-04,0,0
agricola-sb,2016-10-04,1,0
agricola-sb,2016-10-04,2,0
agricola-sb,2016-10-04,3,2
agricola-sb,2016-10-04,4,0
agricola-sb,2016-10-04,5,2
agricola-sb,2016-10-04,6,9
agricola-sb,2016-10-04,7,17
agricola-sb,2016-10-04,8,46
agricola-sb,2016-10-04,9,27
agricola-sb,2016-10-04,10,16
agricola-sb,2016-10-04,11,8
agricola-sb,2016-10-04,12,12
agricola-sb,2016-10-04,13,9
agricola-sb,2016-10-04,14,12
agricola-sb,2016-10-04,15,15
agricola-sb,2016-10-04,16,15
agricola-sb,2016-10-04,17,13
agricola-sb,2016-10-04,18,16
agricola-sb,2016-10-04,19,8
agricola-sb,2016-10-04,20,2
agricola-sb,2016-10-04,21,6
agricola-sb,2016-10-04,22,3
agricola-sb,2016-10-04,23,1
agricola-sb,2016-10-05,0,1
agricola-sb,2016-10-05,1,1
agricola-sb,2016-10-05,2,0
agricola-sb,2016-10-05,3,0
agricola-sb,2016-10-05,4,1
agricola-sb,2016-10-05,5,2
agricola-sb,2016-10-05,6,9
agricola-sb,2016-10-05,7,16
agricola-sb,2016-10-05,8,33
agricola-sb,2016-10-05,9,31
agricola-sb,2016-10-05,10,13
agricola-sb,2016-10-05,11,10
agricola-sb,2016-10-05,12,16
agricola-sb,2016-10-05,13,15
agricola-sb,2016-10-05,14,9
agricola-sb,2016-10-05,15,12
agricola-sb,2016-10-05,16,7
agricola-sb,2016-10-05,17,25
agricola-sb,2016-10-05,18,13
agricola-sb,2016-10-05,19,7
agricola-sb,2016-10-05,20,7
agricola-sb,2016-10-05,21,4
agricola-sb,2016-10-05,22,4
agricola-sb,2016-10-05,23,3
agricola-sb,2016-10-06,0,1
agricola-sb,2016-10-06,1,0
agricola-sb,2016-10-06,2,1
agricola-sb,2016-10-06,3,1
agricola-sb,2016-10-06,4,1
agricola-sb,2016-10-06,5,2
agricola-sb,2016-10-06,6,9
agricola-sb,2016-10-06,7,14
agricola-sb,2016-10-06,8,42
agricola-sb,2016-10-06,9,29
agricola-sb,2016-10-06,10,18
agricola-sb,2016-10-06,11,15
agricola-sb,2016-10-06,12,16
agricola-sb,2016-10-06,13,22
agricola-sb,2016-10-06,14,15
agricola-sb,2016-10-06,15,14
agricola-sb,2016-10-06,16,12
agricola-sb,2016-10-06,17,18
agricola-sb,2016-10-06,18,20
agricola-sb,2016-10-06,19,10
agricola-sb,2016-10-06,20,4
agricola-sb,2016-10-06,21,7
agricola-sb,2016-10-06,22,3
agricola-sb,2016-10-06,23,2
agricola-sb,2016-10-07,0,2
