name,date,hour,count
bridge-eb,2014-01-01,0,1
bridge-eb,2014-01-01,1,0
bridge-eb,2014-01-01,2,0
bridge-eb,2014-01-01,3,0
bridge-eb,2014-01-01,4,0
bridge-eb,2014-01-01,5,1
bridge-eb,2014-01-01,6,0
bridge-eb,2014-01-01,7,0
bridge-eb,2014-01-01,8,0
bridge-eb,2014-01-01,9,0
bridge-eb,2014-01-01,10,1
bridge-eb,2014-01-01,11,4
bridge-eb,2014-01-01,12,0
bridge-eb,2014-01-01,13,2
bridge-eb,2014-01-01,14,2
bridge-eb,2014-01-01,15,0
bridge-eb,2014-01-01,16,1
bridge-eb,2014-01-01,17,0
bridge-eb,2014-01-01,18,1
bridge-eb,2014-01-01,19,0
bridge-eb,2014-01-01,20,0
bridge-eb,2014-01-01,21,0
bridge-eb,2014-01-01,22,0
bridge-eb,2014-01-01,23,0
bridge-eb,2014-01-02,0,0
bridge-eb,2014-01-02,1,0
bridge-eb,2014-01-02,2,0
bridge-eb,2014-01-02,3,0
bridge-eb,2014-01-02,4,0
bridge-eb,2014-01-02,5,0
bridge-eb,2014-01-02,6,0
bridge-eb,2014-01-02,7,1
bridge-eb,2014-01-02,8,2
bridge-eb,2014-01-02,9,4
bridge-eb,2014-01-02,10,0
bridge-eb,2014-01-02,11,0
bridge-eb,2014-01-02,12,0
bridge-eb,2014-01-02,13,0
bridge-eb,2014-01-02,14,2
bridge-eb,2014-01-02,15,2
bridge-eb,2014-01-02,16,11
bridge-eb,2014-01-02,17,2
bridge-eb,2014-01-02,18,2
bridge-eb,2014-01-02,19,1
bridge-eb,2014-01-02,20,0
bridge-eb,2014-01-02,21,0
bridge-eb,2014-01-02,22,1
bridge-eb,2014-01-02,23,0
bridge-eb,2014-01-03,0,0
bridge-eb,2014-01-03,1,0
bridge-eb,2014-01-03,2,0
bridge-eb,2014-01-03,3,1
bridge-eb,2014-01-03,4,0
bridge-eb,2014-01-03,5,0
bridge-eb,2014-01-03,6,0
bridge-eb,2014-01-03,7,1
bridge-eb,2014-01-03,8,1
bridge-eb,2014-01-03,9,0
bridge-eb,2014-01-03,10,0
bridge-eb,2014-01-03,11,0
bridge-eb,2014-01-03,12,2
bridge-eb,2014-01-03,13,0
bridge-eb,2014-01-03,14,3
bridge-eb,2014-01-03,15,3
bridge-eb,2014-01-03,16,1
bridge-eb,2014-01-03,17,2
bridge-eb,2014-01-03,18,0
bridge-eb,2014-01-03,19,1
bridge-eb,2014-01-03,20,0
bridge-eb,2014-01-03,21,0
bridge-eb,2014-01-03,22,0
bridge-eb,2014-01-03,23,0
bridge-eb,2014-01-04,0,0
bridge-eb,2014-01-04,1,0
bridge-eb,2014-01-04,2,0
bridge-eb,2014-01-04,3,0
bridge-eb,2014-01-04,4,0
bridge-eb,2014-01-04,5,0
bridge-eb,2014-01-04,6,0
bridge-eb,2014-01-04,7,0
bridge-eb,2014-01-04,8,0
bridge-eb,2014-01-04,9,0
bridge-eb,2014-01-04,10,0
bridge-eb,2014-01-04,11,2
bridge-eb,2014-01-04,12,1
bridge-eb,2014-01-04,13,0
bridge-eb,2014-01-04,14,0
bridge-eb,2014-01-04,15,1
bridge-eb,2014-01-04,16,0
bridge-eb,2014-01-04,17,0
bridge-eb,2014-01-04,18,1
