name,date,hour,count
hollis,2020-07-08,0,0
hollis,2020-07-08,1,0
hollis,2020-07-08,10,1
hollis,2020-07-08,11,0
hollis,2020-07-08,12,0
hollis,2020-07-08,13,0
hollis,2020-07-08,14,0
hollis,2020-07-08,15,0
hollis,2020-07-08,16,1
hollis,2020-07-08,17,1
hollis,2020-07-08,18,0
hollis,2020-07-08,19,0
hollis,2020-07-08,2,0
hollis,2020-07-08,20,0
hollis,2020-07-08,21,0
hollis,2020-07-08,22,0
hollis,2020-07-08,23,0
hollis,2020-07-08,3,0
hollis,2020-07-08,4,0
hollis,2020-07-08,5,1
hollis,2020-07-08,6,6
hollis,2020-07-08,7,1
hollis,2020-07-08,8,0
hollis,2020-07-08,9,0
hollis,2020-07-09,0,0
hollis,2020-07-09,1,0
hollis,2020-07-09,10,0
hollis,2020-07-09,11,0
hollis,2020-07-09,12,2
hollis,2020-07-09,13,5
hollis,2020-07-09,14,4
hollis,2020-07-09,15,7
hollis,2020-07-09,16,7
hollis,2020-07-09,17,10
hollis,2020-07-09,18,13
hollis,2020-07-09,19,11
hollis,2020-07-09,2,0
hollis,2020-07-09,20,8
hollis,2020-07-09,21,6
hollis,2020-07-09,22,2
hollis,2020-07-09,23,1
hollis,2020-07-09,3,0
hollis,2020-07-09,4,0
hollis,2020-07-09,5,0
hollis,2020-07-09,6,0
hollis,2020-07-09,7,1
hollis,2020-07-09,8,1
hollis,2020-07-09,9,0
hollis,2020-07-10,0,0
hollis,2020-07-10,1,0
hollis,2020-07-10,10,8
hollis,2020-07-10,11,8
hollis,2020-07-10,12,8
hollis,2020-07-10,13,6
hollis,2020-07-10,14,7
hollis,2020-07-10,15,5
hollis,2020-07-10,16,8
hollis,2020-07-10,17,8
hollis,2020-07-10,18,5
hollis,2020-07-10,19,3
hollis,2020-07-10,2,0
hollis,2020-07-10,20,8
hollis,2020-07-10,21,3
hollis,2020-07-10,22,1
hollis,2020-07-10,23,1
hollis,2020-07-10,3,0
hollis,2020-07-10,4,0
hollis,2020-07-10,5,0
hollis,2020-07-10,6,1
hollis,2020-07-10,7,0
hollis,2020-07-10,8,3
hollis,2020-07-10,9,6
hollis,2020-07-11,0,0
hollis,2020-07-11,1,0
hollis,2020-07-11,10,19
hollis,2020-07-11,11,13
hollis,2020-07-11,12,3
hollis,2020-07-11,13,2
hollis,2020-07-11,14,3
hollis,2020-07-11,15,6
hollis,2020-07-11,16,3
hollis,2020-07-11,17,6
hollis,2020-07-11,18,2
hollis,2020-07-11,19,4
hollis,2020-07-11,2,0
hollis,2020-07-11,20,1
hollis,2020-07-11,21,0
hollis,2020-07-11,22,0
hollis,2020-07-11,23,1
hollis,2020-07-11,3,0
hollis,2020-07-11,4,0
hollis,2020-07-11,5,0
hollis,2020-07-11,6,0
hollis,2020-07-11,7,0
hollis,2020-07-11,8,3
hollis,2020-07-11,9,5
hollis,2020-07-12,0,0
hollis,2020-07-12,1,0
hollis,2020-07-12,10,0
hollis,2020-07-12,11,2
hollis,2020-07-12,12,2
hollis,2020-07-12,13,13
hollis,2020-07-12,14,9
hollis,2020-07-12,15,6
hollis,2020-07-12,16,4
hollis,2020-07-12,17,11
hollis,2020-07-12,18,7
hollis,2020-07-12,19,5
hollis,2020-07-12,2,0
hollis,2020-07-12,20,5
hollis,2020-07-12,21,2
hollis,2020-07-12,22,2
hollis,2020-07-12,23,0
hollis,2020-07-12,3,0
hollis,2020-07-12,4,0
hollis,2020-07-12,5,0
hollis,2020-07-12,6,0
hollis,2020-07-12,7,0
hollis,2020-07-12,8,0
hollis,2020-07-12,9,0
hollis,2020-07-13,0,0
hollis,2020-07-13,1,0
hollis,2020-07-13,10,0
hollis,2020-07-13,11,0
hollis,2020-07-13,12,0
hollis,2020-07-13,13,0
hollis,2020-07-13,14,4
hollis,2020-07-13,15,6
hollis,2020-07-13,16,7
hollis,2020-07-13,17,10
hollis,2020-07-13,18,11
hollis,2020-07-13,19,10
hollis,2020-07-13,2,0
hollis,2020-07-13,20,4
hollis,2020-07-13,21,1
hollis,2020-07-13,22,0
