name,date,hour,count
rainnie,2018-08-30,0,0
rainnie,2018-08-30,1,0
rainnie,2018-08-30,2,0
rainnie,2018-08-30,3,0
rainnie,2018-08-30,4,0
rainnie,2018-08-30,5,0
rainnie,2018-08-30,6,0
rainnie,2018-08-30,7,0
rainnie,2018-08-30,8,0
rainnie,2018-08-30,9,0
rainnie,2018-08-30,10,4
rainnie,2018-08-30,11,9
rainnie,2018-08-30,12,10
rainnie,2018-08-30,13,14
rainnie,2018-08-30,14,7
rainnie,2018-08-30,15,5
rainnie,2018-08-30,16,16
rainnie,2018-08-30,17,16
rainnie,2018-08-30,18,8
rainnie,2018-08-30,19,3
rainnie,2018-08-30,20,2
rainnie,2018-08-30,21,3
rainnie,2018-08-30,22,5
rainnie,2018-08-30,23,2
rainnie,2018-08-31,0,1
rainnie,2018-08-31,1,1
rainnie,2018-08-31,2,1
rainnie,2018-08-31,3,1
rainnie,2018-08-31,4,0
rainnie,2018-08-31,5,0
rainnie,2018-08-31,6,4
rainnie,2018-08-31,7,9
rainnie,2018-08-31,8,31
rainnie,2018-08-31,9,17
rainnie,2018-08-31,10,9
rainnie,2018-08-31,11,8
rainnie,2018-08-31,12,11
rainnie,2018-08-31,13,12
rainnie,2018-08-31,14,9
rainnie,2018-08-31,15,16
rainnie,2018-08-31,16,17
rainnie,2018-08-31,17,5
rainnie,2018-08-31,18,7
rainnie,2018-08-31,19,9
rainnie,2018-08-31,20,2
rainnie,2018-08-31,21,3
rainnie,2018-08-31,22,10
rainnie,2018-08-31,23,1
rainnie,2018-09-01,0,1
rainnie,2018-09-01,1,0
rainnie,2018-09-01,2,1
rainnie,2018-09-01,3,0
rainnie,2018-09-01,4,1
rainnie,2018-09-01,5,0
rainnie,2018-09-01,6,1
rainnie,2018-09-01,7,2
rainnie,2018-09-01,8,4
rainnie,2018-09-01,9,2
rainnie,2018-09-01,10,8
rainnie,2018-09-01,11,5
rainnie,2018-09-01,12,4
rainnie,2018-09-01,13,1
rainnie,2018-09-01,14,2
rainnie,2018-09-01,15,3
rainnie,2018-09-01,16,11
rainnie,2018-09-01,17,4
rainnie,2018-09-01,18,9
rainnie,2018-09-01,19,2
rainnie,2018-09-01,20,5
rainnie,2018-09-01,21,3
rainnie,2018-09-01,22,7
rainnie,2018-09-01,23,1
rainnie,2018-09-02,0,1
rainnie,2018-09-02,1,0
rainnie,2018-09-02,2,3
rainnie,2018-09-02,3,1
rainnie,2018-09-02,4,1
rainnie,2018-09-02,5,1
rainnie,2018-09-02,6,0
rainnie,2018-09-02,7,2
rainnie,2018-09-02,8,1
rainnie,2018-09-02,9,4
rainnie,2018-09-02,10,4
rainnie,2018-09-02,11,1
rainnie,2018-09-02,12,3
