name,date,hour,count
south-park-nb-2017,2017-08-23,0,0
south-park-nb-2017,2017-08-23,1,0
south-park-nb-2017,2017-08-23,2,0
south-park-nb-2017,2017-08-23,3,0
south-park-nb-2017,2017-08-23,4,0
south-park-nb-2017,2017-08-23,5,0
south-park-nb-2017,2017-08-23,6,0
south-park-nb-2017,2017-08-23,7,0
south-park-nb-2017,2017-08-23,8,0
south-park-nb-2017,2017-08-23,9,0
south-park-nb-2017,2017-08-23,10,5
south-park-nb-2017,2017-08-23,11,9
south-park-nb-2017,2017-08-23,12,9
south-park-nb-2017,2017-08-23,13,11
south-park-nb-2017,2017-08-23,14,10
south-park-nb-2017,2017-08-23,15,9
south-park-nb-2017,2017-08-23,16,18
south-park-nb-2017,2017-08-23,17,18
south-park-nb-2017,2017-08-23,18,4
south-park-nb-2017,2017-08-23,19,5
south-park-nb-2017,2017-08-23,20,2
south-park-nb-2017,2017-08-23,21,8
south-park-nb-2017,2017-08-23,22,2
south-park-nb-2017,2017-08-23,23,0
south-park-nb-2017,2017-08-24,0,1
south-park-nb-2017,2017-08-24,1,0
south-park-nb-2017,2017-08-24,2,0
south-park-nb-2017,2017-08-24,3,1
south-park-nb-2017,2017-08-24,4,0
south-park-nb-2017,2017-08-24,5,0
south-park-nb-2017,2017-08-24,6,4
south-park-nb-2017,2017-08-24,7,1
south-park-nb-2017,2017-08-24,8,8
south-park-nb-2017,2017-08-24,9,7
south-park-nb-2017,2017-08-24,10,6
south-park-nb-2017,2017-08-24,11,7
south-park-nb-2017,2017-08-24,12,12
south-park-nb-2017,2017-08-24,13,13
south-park-nb-2017,2017-08-24,14,9
south-park-nb-2017,2017-08-24,15,28
south-park-nb-2017,2017-08-24,16,28
south-park-nb-2017,2017-08-24,17,32
south-park-nb-2017,2017-08-24,18,21
south-park-nb-2017,2017-08-24,19,15
south-park-nb-2017,2017-08-24,20,15
south-park-nb-2017,2017-08-24,21,14
south-park-nb-2017,2017-08-24,22,13
south-park-nb-2017,2017-08-24,23,7
south-park-nb-2017,2017-08-25,0,5
south-park-nb-2017,2017-08-25,1,1
south-park-nb-2017,2017-08-25,2,0
south-park-nb-2017,2017-08-25,3,0
south-park-nb-2017,2017-08-25,4,0
south-park-nb-2017,2017-08-25,5,0
south-park-nb-2017,2017-08-25,6,2
south-park-nb-2017,2017-08-25,7,6
south-park-nb-2017,2017-08-25,8,8
south-park-nb-2017,2017-08-25,9,9
south-park-nb-2017,2017-08-25,10,9
south-park-nb-2017,2017-08-25,11,13
south-park-nb-2017,2017-08-25,12,4
south-park-nb-2017,2017-08-25,13,14
south-park-nb-2017,2017-08-25,14,18
south-park-nb-2017,2017-08-25,15,26
south-park-nb-2017,2017-08-25,16,24
south-park-nb-2017,2017-08-25,17,21
south-park-nb-2017,2017-08-25,18,17
south-park-nb-2017,2017-08-25,19,8
south-park-nb-2017,2017-08-25,20,5
south-park-nb-2017,2017-08-25,21,5
south-park-nb-2017,2017-08-25,22,6
south-park-nb-2017,2017-08-25,23,9
south-park-nb-2017,2017-08-26,0,3
south-park-nb-2017,2017-08-26,1,0
south-park-nb-2017,2017-08-26,2,2
south-park-nb-2017,2017-08-26,3,0
south-park-nb-2017,2017-08-26,4,0
south-park-nb-2017,2017-08-26,5,0
south-park-nb-2017,2017-08-26,6,1
south-park-nb-2017,2017-08-26,7,1
south-park-nb-2017,2017-08-26,8,2
south-park-nb-2017,2017-08-26,9,2
south-park-nb-2017,2017-08-26,10,11
south-park-nb-2017,2017-08-26,11,10
south-park-nb-2017,2017-08-26,12,12
south-park-nb-2017,2017-08-26,13,3
south-park-nb-2017,2017-08-26,14,3
south-park-nb-2017,2017-08-26,15,8
south-park-nb-2017,2017-08-26,16,6
south-park-nb-2017,2017-08-26,17,9
south-park-nb-2017,2017-08-26,18,9
south-park-nb-2017,2017-08-26,19,6
south-park-nb-2017,2017-08-26,20,5
south-park-nb-2017,2017-08-26,21,3
south-park-nb-2017,2017-08-26,22,3
south-park-nb-2017,2017-08-26,23,3
south-park-nb-2017,2017-08-27,0,3
south-park-nb-2017,2017-08-27,1,2
south-park-nb-2017,2017-08-27,2,2
south-park-nb-2017,2017-08-27,3,0
south-park-nb-2017,2017-08-27,4,0
south-park-nb-2017,2017-08-27,5,0
south-park-nb-2017,2017-08-27,6,2
south-park-nb-2017,2017-08-27,7,1
south-park-nb-2017,2017-08-27,8,5
south-park-nb-2017,2017-08-27,9,5
south-park-nb-2017,2017-08-27,10,6
south-park-nb-2017,2017-08-27,11,11
south-park-nb-2017,2017-08-27,12,19
south-park-nb-2017,2017-08-27,13,17
south-park-nb-2017,2017-08-27,14,13
