name,date,hour,count
south-park-sb-2017,2017-09-28,0,0
south-park-sb-2017,2017-09-28,1,0
south-park-sb-2017,2017-09-28,2,0
south-park-sb-2017,2017-09-28,3,0
south-park-sb-2017,2017-09-28,4,2
south-park-sb-2017,2017-09-28,5,0
south-park-sb-2017,2017-09-28,6,2
south-park-sb-2017,2017-09-28,7,5
south-park-sb-2017,2017-09-28,8,7
south-park-sb-2017,2017-09-28,9,5
south-park-sb-2017,2017-09-28,10,0
south-park-sb-2017,2017-09-28,11,2
south-park-sb-2017,2017-09-28,12,2
south-park-sb-2017,2017-09-28,13,0
south-park-sb-2017,2017-09-28,14,0
south-park-sb-2017,2017-09-28,15,2
south-park-sb-2017,2017-09-28,16,2
south-park-sb-2017,2017-09-28,17,2
south-park-sb-2017,2017-09-28,18,0
south-park-sb-2017,2017-09-28,19,0
south-park-sb-2017,2017-09-28,20,0
south-park-sb-2017,2017-09-28,21,0
south-park-sb-2017,2017-09-28,22,1
south-park-sb-2017,2017-09-28,23,0
south-park-sb-2017,2017-09-29,0,1
south-park-sb-2017,2017-09-29,1,0
south-park-sb-2017,2017-09-29,2,2
south-park-sb-2017,2017-09-29,3,0
south-park-sb-2017,2017-09-29,4,0
south-park-sb-2017,2017-09-29,5,0
south-park-sb-2017,2017-09-29,6,1
south-park-sb-2017,2017-09-29,7,0
south-park-sb-2017,2017-09-29,8,0
south-park-sb-2017,2017-09-29,9,6
south-park-sb-2017,2017-09-29,10,1
south-park-sb-2017,2017-09-29,11,0
south-park-sb-2017,2017-09-29,12,1
south-park-sb-2017,2017-09-29,13,0
south-park-sb-2017,2017-09-29,14,2
south-park-sb-2017,2017-09-29,15,4
south-park-sb-2017,2017-09-29,16,1
south-park-sb-2017,2017-09-29,17,4
south-park-sb-2017,2017-09-29,18,3
south-park-sb-2017,2017-09-29,19,0
south-park-sb-2017,2017-09-29,20,1
south-park-sb-2017,2017-09-29,21,1
south-park-sb-2017,2017-09-29,22,3
south-park-sb-2017,2017-09-29,23,0
south-park-sb-2017,2017-09-30,0,0
south-park-sb-2017,2017-09-30,1,0
south-park-sb-2017,2017-09-30,2,1
south-park-sb-2017,2017-09-30,3,0
south-park-sb-2017,2017-09-30,4,0
south-park-sb-2017,2017-09-30,5,0
south-park-sb-2017,2017-09-30,6,0
south-park-sb-2017,2017-09-30,7,2
south-park-sb-2017,2017-09-30,8,1
south-park-sb-2017,2017-09-30,9,0
south-park-sb-2017,2017-09-30,10,0
south-park-sb-2017,2017-09-30,11,0
south-park-sb-2017,2017-09-30,12,3
south-park-sb-2017,2017-09-30,13,0
south-park-sb-2017,2017-09-30,14,3
south-park-sb-2017,2017-09-30,15,4
south-park-sb-2017,2017-09-30,16,1
south-park-sb-2017,2017-09-30,17,1
south-park-sb-2017,2017-09-30,18,2
south-park-sb-2017,2017-09-30,19,4
south-park-sb-2017,2017-09-30,20,1
south-park-sb-2017,2017-09-30,21,1
south-park-sb-2017,2017-09-30,22,1
south-park-sb-2017,2017-09-30,23,0
south-park-sb-2017,2017-10-01,0,1
south-park-sb-2017,2017-10-01,1,0
south-park-sb-2017,2017-10-01,2,0
south-park-sb-2017,2017-10-01,3,1
south-park-sb-2017,2017-10-01,4,0
south-park-sb-2017,2017-10-01,5,0
south-park-sb-2017,2017-10-01,6,0
south-park-sb-2017,2017-10-01,7,0
south-park-sb-2017,2017-10-01,8,1
south-park-sb-2017,2017-10-01,9,4
south-park-sb-2017,2017-10-01,10,2
south-park-sb-2017,2017-10-01,11,1
south-park-sb-2017,2017-10-01,12,1
south-park-sb-2017,2017-10-01,13,2
south-park-sb-2017,2017-10-01,14,1
south-park-sb-2017,2017-10-01,15,5
south-park-sb-2017,2017-10-01,16,1
south-park-sb-2017,2017-10-01,17,1
