name,date,hour,count
uni-rowe,2017-04-27,0,0
uni-rowe,2017-04-27,1,0
uni-rowe,2017-04-27,2,0
uni-rowe,2017-04-27,3,0
uni-rowe,2017-04-27,4,0
uni-rowe,2017-04-27,5,0
uni-rowe,2017-04-27,6,0
uni-rowe,2017-04-27,7,1
uni-rowe,2017-04-27,8,0
uni-rowe,2017-04-27,9,7
uni-rowe,2017-04-27,10,1
uni-rowe,2017-04-27,11,2
uni-rowe,2017-04-27,12,1
uni-rowe,2017-04-27,13,0
uni-rowe,2017-04-27,14,2
uni-rowe,2017-04-27,15,3
uni-rowe,2017-04-27,16,1
uni-rowe,2017-04-27,17,1
uni-rowe,2017-04-27,18,1
uni-rowe,2017-04-27,19,1
uni-rowe,2017-04-27,20,2
uni-rowe,2017-04-27,21,2
uni-rowe,2017-04-27,22,1
uni-rowe,2017-04-27,23,0
uni-rowe,2017-04-28,0,0
uni-rowe,2017-04-28,1,0
uni-rowe,2017-04-28,2,0
uni-rowe,2017-04-28,3,0
uni-rowe,2017-04-28,4,0
uni-rowe,2017-04-28,5,0
uni-rowe,2017-04-28,6,1
uni-rowe,2017-04-28,7,6
uni-rowe,2017-04-28,8,11
uni-rowe,2017-04-28,9,3
uni-rowe,2017-04-28,10,3
uni-rowe,2017-04-28,11,4
uni-rowe,2017-04-28,12,2
uni-rowe,2017-04-28,13,5
uni-rowe,2017-04-28,14,3
uni-rowe,2017-04-28,15,8
uni-rowe,2017-04-28,16,4
uni-rowe,2017-04-28,17,4
uni-rowe,2017-04-28,18,1
uni-rowe,2017-04-28,19,2
uni-rowe,2017-04-28,20,1
uni-rowe,2017-04-28,21,2
uni-rowe,2017-04-28,22,2
uni-rowe,2017-04-28,23,0
uni-rowe,2017-04-29,0,0
uni-rowe,2017-04-29,1,0
uni-rowe,2017-04-29,2,0
uni-rowe,2017-04-29,3,0
uni-rowe,2017-04-29,4,0
uni-rowe,2017-04-29,5,0
uni-rowe,2017-04-29,6,0
uni-rowe,2017-04-29,7,0
uni-rowe,2017-04-29,8,1
uni-rowe,2017-04-29,9,4
uni-rowe,2017-04-29,10,4
uni-rowe,2017-04-29,11,4
uni-rowe,2017-04-29,12,5
uni-rowe,2017-04-29,13,5
uni-rowe,2017-04-29,14,8
uni-rowe,2017-04-29,15,11
uni-rowe,2017-04-29,16,2
uni-rowe,2017-04-29,17,6
uni-rowe,2017-04-29,18,2
uni-rowe,2017-04-29,19,3
uni-rowe,2017-04-29,20,1
uni-rowe,2017-04-29,21,1
uni-rowe,2017-04-29,22,0
uni-rowe,2017-04-29,23,0
uni-rowe,2017-04-30,0,0
uni-rowe,2017-04-30,1,0
uni-rowe,2017-04-30,2,0
uni-rowe,2017-04-30,3,0
uni-rowe,2017-04-30,4,0
uni-rowe,2017-04-30,5,0
uni-rowe,2017-04-30,6,0
uni-rowe,2017-04-30,7,0
uni-rowe,2017-04-30,8,1
uni-rowe,2017-04-30,9,2
uni-rowe,2017-04-30,10,1
uni-rowe,2017-04-30,11,3
uni-rowe,2017-04-30,12,5
