name,date,hour,count
vernon-nb,2020-12-09,14,4
vernon-sb,2020-12-09,14,4
vernon-sb,2020-12-09,15,3
vernon-nb,2020-12-09,15,6
vernon-sb,2020-12-09,16,6
vernon-nb,2020-12-09,16,9
vernon-sb,2020-12-09,17,2
vernon-nb,2020-12-09,17,8
vernon-sb,2020-12-09,18,1
vernon-nb,2020-12-09,18,4
vernon-nb,2020-12-09,19,1
vernon-sb,2020-12-09,19,1
vernon-sb,2020-12-09,20,2
vernon-nb,2020-12-09,20,3
vernon-nb,2020-12-09,21,2
vernon-sb,2020-12-09,21,2
vernon-nb,2020-12-09,22,0
vernon-sb,2020-12-09,22,1
vernon-sb,2020-12-09,23,0
vernon-nb,2020-12-09,23,1
vernon-sb,2020-12-10,0,1
vernon-nb,2020-12-10,0,3
vernon-nb,2020-12-10,1,0
vernon-sb,2020-12-10,1,2
vernon-nb,2020-12-10,10,0
vernon-sb,2020-12-10,10,3
vernon-sb,2020-12-10,11,1
vernon-nb,2020-12-10,11,2
vernon-sb,2020-12-10,12,1
vernon-nb,2020-12-10,12,2
vernon-nb,2020-12-10,13,2
vernon-sb,2020-12-10,13,2
vernon-nb,2020-12-10,14,3
vernon-sb,2020-12-10,14,8
vernon-sb,2020-12-10,15,2
vernon-nb,2020-12-10,15,7
vernon-sb,2020-12-10,16,4
vernon-nb,2020-12-10,16,5
vernon-sb,2020-12-10,17,0
vernon-nb,2020-12-10,17,2
vernon-sb,2020-12-10,18,0
vernon-nb,2020-12-10,18,1
vernon-nb,2020-12-10,19,1
vernon-sb,2020-12-10,19,3
vernon-nb,2020-12-10,2,0
vernon-sb,2020-12-10,2,0
vernon-sb,2020-12-10,20,1
vernon-nb,2020-12-10,20,3
vernon-nb,2020-12-10,21,0
vernon-sb,2020-12-10,21,1
vernon-nb,2020-12-10,22,0
vernon-sb,2020-12-10,22,0
vernon-sb,2020-12-10,23,0
vernon-nb,2020-12-10,23,1
vernon-nb,2020-12-10,3,0
vernon-sb,2020-12-10,3,1
vernon-nb,2020-12-10,4,0
vernon-sb,2020-12-10,4,0
vernon-nb,2020-12-10,5,0
vernon-sb,2020-12-10,5,0
vernon-nb,2020-12-10,6,1
vernon-sb,2020-12-10,6,4
vernon-nb,2020-12-10,7,1
vernon-sb,2020-12-10,7,4
vernon-nb,2020-12-10,8,0
vernon-sb,2020-12-10,8,8
vernon-nb,2020-12-10,9,0
vernon-sb,2020-12-10,9,1
vernon-sb,2020-12-11,0,0
vernon-nb,2020-12-11,0,1
vernon-nb,2020-12-11,1,0
vernon-sb,2020-12-11,1,0
vernon-nb,2020-12-11,10,2
vernon-sb,2020-12-11,10,2
vernon-sb,2020-12-11,11,2
vernon-nb,2020-12-11,11,5
vernon-sb,2020-12-11,12,2
vernon-nb,2020-12-11,12,6
vernon-sb,2020-12-11,13,2
vernon-nb,2020-12-11,13,5
vernon-sb,2020-12-11,14,21
vernon-nb,2020-12-11,14,27
vernon-sb,2020-12-11,15,3
vernon-nb,2020-12-11,15,6
vernon-nb,2020-12-11,16,5
vernon-sb,2020-12-11,16,7
vernon-sb,2020-12-11,17,3
vernon-nb,2020-12-11,17,6
vernon-sb,2020-12-11,18,0
vernon-nb,2020-12-11,18,1
vernon-sb,2020-12-11,19,1
vernon-nb,2020-12-11,19,5
vernon-nb,2020-12-11,2,0
vernon-sb,2020-12-11,2,0
vernon-nb,2020-12-11,20,1
vernon-sb,2020-12-11,20,1
vernon-sb,2020-12-11,21,1
vernon-nb,2020-12-11,21,2
vernon-nb,2020-12-11,22,0
vernon-sb,2020-12-11,22,0
vernon-sb,2020-12-11,23,1
vernon-nb,2020-12-11,23,2
vernon-nb,2020-12-11,3,0
vernon-sb,2020-12-11,3,0
vernon-nb,2020-12-11,4,0
vernon-sb,2020-12-11,4,0
vernon-nb,2020-12-11,5,0
vernon-sb,2020-12-11,5,0
vernon-nb,2020-12-11,6,1
vernon-sb,2020-12-11,6,4
vernon-nb,2020-12-11,7,0
vernon-sb,2020-12-11,7,7
vernon-nb,2020-12-11,8,0
vernon-sb,2020-12-11,8,15
vernon-nb,2020-12-11,9,0
vernon-sb,2020-12-11,9,5
vernon-nb,2020-12-12,0,2
vernon-sb,2020-12-12,0,3
vernon-sb,2020-12-12,1,0
vernon-nb,2020-12-12,1,1
vernon-nb,2020-12-12,10,2
vernon-sb,2020-12-12,10,3
vernon-sb,2020-12-12,11,1
vernon-nb,2020-12-12,11,2
vernon-sb,2020-12-12,12,3
vernon-nb,2020-12-12,12,5
vernon-sb,2020-12-12,13,3
vernon-nb,2020-12-12,13,4
vernon-nb,2020-12-12,14,5
vernon-sb,2020-12-12,14,9
vernon-sb,2020-12-12,15,2
vernon-nb,2020-12-12,15,7
vernon-nb,2020-12-12,16,0
vernon-sb,2020-12-12,16,6
vernon-nb,2020-12-12,17,1
vernon-sb,2020-12-12,17,2
vernon-nb,2020-12-12,18,1
vernon-sb,2020-12-12,18,1
vernon-sb,2020-12-12,19,1
vernon-nb,2020-12-12,19,5
vernon-nb,2020-12-12,2,0
vernon-sb,2020-12-12,2,0
vernon-nb,2020-12-12,20,0
vernon-sb,2020-12-12,20,1
vernon-nb,2020-12-12,21,1
vernon-sb,2020-12-12,21,3
vernon-sb,2020-12-12,22,0
vernon-nb,2020-12-12,22,1
vernon-nb,2020-12-12,23,0
vernon-sb,2020-12-12,23,1
vernon-nb,2020-12-12,3,0
vernon-sb,2020-12-12,3,0
vernon-nb,2020-12-12,4,0
vernon-sb,2020-12-12,4,0
vernon-nb,2020-12-12,5,0
vernon-sb,2020-12-12,5,0
vernon-nb,2020-12-12,6,1
vernon-sb,2020-12-12,6,2
vernon-nb,2020-12-12,7,0
vernon-sb,2020-12-12,7,1
vernon-nb,2020-12-12,8,0
vernon-sb,2020-12-12,8,1
vernon-nb,2020-12-12,9,2
vernon-sb,2020-12-12,9,2
vernon-nb,2020-12-13,0,0
vernon-sb,2020-12-13,0,0
vernon-nb,2020-12-13,1,0
vernon-sb,2020-12-13,1,0
vernon-nb,2020-12-13,10,2
vernon-sb,2020-12-13,10,6
vernon-nb,2020-12-13,11,2
vernon-sb,2020-12-13,11,6
vernon-nb,2020-12-13,12,2
vernon-sb,2020-12-13,12,2
vernon-sb,2020-12-13,13,3
vernon-nb,2020-12-13,13,5
vernon-nb,2020-12-13,14,3
vernon-sb,2020-12-13,14,4
vernon-sb,2020-12-13,15,0
vernon-nb,2020-12-13,15,2
vernon-nb,2020-12-13,16,3
vernon-sb,2020-12-13,16,8
vernon-nb,2020-12-13,17,2
vernon-sb,2020-12-13,17,2
vernon-sb,2020-12-13,18,1
vernon-nb,2020-12-13,18,3
