name,date,hour,count
welsford,2018-08-28,0,0
welsford,2018-08-28,1,0
welsford,2018-08-28,2,0
welsford,2018-08-28,3,0
welsford,2018-08-28,4,0
welsford,2018-08-28,5,0
welsford,2018-08-28,6,0
welsford,2018-08-28,7,0
welsford,2018-08-28,8,0
welsford,2018-08-28,9,0
welsford,2018-08-28,10,0
welsford,2018-08-28,11,7
welsford,2018-08-28,12,17
welsford,2018-08-28,13,6
welsford,2018-08-28,14,9
welsford,2018-08-28,15,9
welsford,2018-08-28,16,8
welsford,2018-08-28,17,13
welsford,2018-08-28,18,9
welsford,2018-08-28,19,8
welsford,2018-08-28,20,11
welsford,2018-08-28,21,4
welsford,2018-08-28,22,3
welsford,2018-08-28,23,0
welsford,2018-08-29,0,0
welsford,2018-08-29,1,1
welsford,2018-08-29,2,0
welsford,2018-08-29,3,0
welsford,2018-08-29,4,0
welsford,2018-08-29,5,1
welsford,2018-08-29,6,1
welsford,2018-08-29,7,9
welsford,2018-08-29,8,20
welsford,2018-08-29,9,12
welsford,2018-08-29,10,4
welsford,2018-08-29,11,3
welsford,2018-08-29,12,8
welsford,2018-08-29,13,7
welsford,2018-08-29,14,6
welsford,2018-08-29,15,6
welsford,2018-08-29,16,12
welsford,2018-08-29,17,23
welsford,2018-08-29,18,20
welsford,2018-08-29,19,6
welsford,2018-08-29,20,11
welsford,2018-08-29,21,8
welsford,2018-08-29,22,1
welsford,2018-08-29,23,1
welsford,2018-08-30,0,1
welsford,2018-08-30,1,0
welsford,2018-08-30,2,0
welsford,2018-08-30,3,0
welsford,2018-08-30,4,0
welsford,2018-08-30,5,0
welsford,2018-08-30,6,0
welsford,2018-08-30,7,7
welsford,2018-08-30,8,13
welsford,2018-08-30,9,8
welsford,2018-08-30,10,3
welsford,2018-08-30,11,3
welsford,2018-08-30,12,4
welsford,2018-08-30,13,13
welsford,2018-08-30,14,7
welsford,2018-08-30,15,6
welsford,2018-08-30,16,8
welsford,2018-08-30,17,16
welsford,2018-08-30,18,5
welsford,2018-08-30,19,9
welsford,2018-08-30,20,3
welsford,2018-08-30,21,1
welsford,2018-08-30,22,2
welsford,2018-08-30,23,0
welsford,2018-08-31,0,3
welsford,2018-08-31,1,0
welsford,2018-08-31,2,0
welsford,2018-08-31,3,0
welsford,2018-08-31,4,0
welsford,2018-08-31,5,1
welsford,2018-08-31,6,3
welsford,2018-08-31,7,5
welsford,2018-08-31,8,11
welsford,2018-08-31,9,8
welsford,2018-08-31,10,6
welsford,2018-08-31,11,8
welsford,2018-08-31,12,18
welsford,2018-08-31,13,10
welsford,2018-08-31,14,7
welsford,2018-08-31,15,10
welsford,2018-08-31,16,14
welsford,2018-08-31,17,14
welsford,2018-08-31,18,12
welsford,2018-08-31,19,8
welsford,2018-08-31,20,3
welsford,2018-08-31,21,3
welsford,2018-08-31,22,2
welsford,2018-08-31,23,0
welsford,2018-09-01,0,1
welsford,2018-09-01,1,0
welsford,2018-09-01,2,0
welsford,2018-09-01,3,0
welsford,2018-09-01,4,0
welsford,2018-09-01,5,0
