name,date,hour,count
windsor-sb,2020-12-09,14,1
windsor-nb,2020-12-09,14,8
windsor-nb,2020-12-09,15,2
windsor-sb,2020-12-09,15,2
windsor-nb,2020-12-09,16,3
windsor-sb,2020-12-09,16,4
windsor-sb,2020-12-09,17,0
windsor-nb,2020-12-09,17,4
windsor-sb,2020-12-09,18,0
windsor-nb,2020-12-09,18,1
windsor-sb,2020-12-09,19,0
windsor-nb,2020-12-09,19,2
windsor-nb,2020-12-09,20,0
windsor-sb,2020-12-09,20,0
windsor-nb,2020-12-09,21,1
windsor-sb,2020-12-09,21,1
windsor-nb,2020-12-09,22,0
windsor-sb,2020-12-09,22,0
windsor-nb,2020-12-09,23,0
windsor-sb,2020-12-09,23,0
windsor-nb,2020-12-10,0,0
windsor-sb,2020-12-10,0,0
windsor-nb,2020-12-10,1,0
windsor-sb,2020-12-10,1,0
windsor-nb,2020-12-10,10,0
windsor-sb,2020-12-10,10,1
windsor-sb,2020-12-10,11,0
windsor-nb,2020-12-10,11,1
windsor-nb,2020-12-10,12,1
windsor-sb,2020-12-10,12,1
windsor-nb,2020-12-10,13,1
windsor-sb,2020-12-10,13,1
windsor-nb,2020-12-10,14,2
windsor-sb,2020-12-10,14,3
windsor-nb,2020-12-10,15,0
windsor-sb,2020-12-10,15,1
windsor-sb,2020-12-10,16,2
windsor-nb,2020-12-10,16,3
windsor-sb,2020-12-10,17,0
windsor-nb,2020-12-10,17,2
windsor-nb,2020-12-10,18,1
windsor-sb,2020-12-10,18,1
windsor-nb,2020-12-10,19,1
windsor-sb,2020-12-10,19,1
windsor-nb,2020-12-10,2,0
windsor-sb,2020-12-10,2,0
windsor-nb,2020-12-10,20,1
windsor-sb,2020-12-10,20,1
windsor-nb,2020-12-10,21,0
windsor-sb,2020-12-10,21,0
windsor-nb,2020-12-10,22,0
windsor-sb,2020-12-10,22,0
windsor-nb,2020-12-10,23,0
windsor-sb,2020-12-10,23,1
windsor-nb,2020-12-10,3,0
windsor-sb,2020-12-10,3,0
windsor-nb,2020-12-10,4,0
windsor-sb,2020-12-10,4,0
windsor-nb,2020-12-10,5,0
windsor-sb,2020-12-10,5,2
windsor-sb,2020-12-10,6,0
windsor-nb,2020-12-10,6,1
windsor-nb,2020-12-10,7,1
windsor-sb,2020-12-10,7,3
